reg_no,name,address,mobile_no,course,gender,email
1521001,sanjay,mumbai,12341,Computer M,,sanjay@gmail.com
1521001,sanjay,mumbai,12341,Computer M,,sanjay@gmail.com
1521001,sanjay,mumbai,12341,Computer M,,sanjay@gmail.com
1521001,sanjay,mumbai,12341,Computer M,,sanjay@gmail.com
1521001,sanjay,mumbai,12341,Computer M,,sanjay@gmail.com
1521001,sanjay,mumbai,12341,Computer M,,sanjay@gmail.com
1521001,sanjay,mumbai,12341,Computer M,,sanjay@gmail.com
1521001,sanjay,mumbai,12341,Computer M,,sanjay@gmail.com
1521001,sanjay,mumbai,12341,Computer M,,sanjay@gmail.com
1521001,sanjay,mumbai,12341,Computer M,,sanjay@gmail.com
